id lens
1 2024;3538;3040;3538;3488;2542;3538;4100;3488;4100;4100;3538;3488;3538;3538;4036;3040;4100;3424;2542;3538;4100;2835;7522;3538;3538;3986;4036;3538;3538;2990;3538;4036;3538;4036;3986;3538;4036;3057;4100;3474;3538;3538;4036;3538;3488;3538;4100;4100;3057;3538;3538;3538;4100;4100;2976;3538;4036;3538;4100;3538;4100;3538;3057;3538;3538;3057;3538;3538;3538;4036;3538;3488;4036;3538;3538;2990;4036;3538;4036;3538;3538;3538;3538;3538;3488;4036;3538;3057;3538;4036;3538;2990;3538;3538;3538;3488;3538;4036;4100;3538;3538;3538;2820
1 2012;3057;3538;15440;4100;3538;3986;4036;3538;3538;4036;4100;3057;4100;5466;3538;4100;3040;4036;3538;4100;3057;3538;22910;3986;3040;3538;4036;4036;4100;3040;3538;3040;3057;3538;3538;2779;3188;3538;3538;4036;3986;3538;3538;3538;3488;3538;4036;3538;4036;3488;3538;3538;3538;4100;3538;4036;3040;3488;4100;7522;4036;3057;3538;2690;3538;3538;3538;3986;4036;3080;3538;4036;4036;4100;4100;2761;2690;3538;3538;3538;3488;4036;3080;12502;3538;3986;4036;4100;4100;4100;4100;3538;4100;3922;4100
1 2000;3538;3538;4036;3488;4036;2542;3538;3538;3488;4036;3538;3538;3986;4036;3538;3538;3538;3538;4036;2990;3538;4036;3538;3986;2799;3057;3538;4100;3538;3488;3538;4036;3040;3488;3538;3538;3538;3488;3538;3538;3538;3538;3057;3538;3538;2842;3538;3040;3538;3538;3986;3538;3538;3538;3488;3057;3538;3538;3538;3488;4036;4100;3474;3488;3538;4036;3538;4036;3986;3057;3538;3538;3538;3538;3538;3538;3538;3538;4100;2976;3538;3488;3538;3538;3538;3449;3057;3538;3040;3538;3986;4036;3538;3538;3538;3538;3538;3488;4036;3538;4036;3488;3538;3538;3538;3538;3986;4036;3538
1 2014;3057;3538;3538;3538;4100;3538;3538;4036;4036;3538;4036;4036;3488;3538;3538;3538;3538;3538;3488;3538;3040;3538;3488;3342;3057;3538;3538;3538;3488;3538;3538;3538;3488;4036;3538;3488;3538;4036;3538;4036;3538;3538;3538;2859;3538;3538;11954;3538;2542;3538;3488;3538;3538;3538;3538;3488;3538;4036;3538;3488;3538;3538;4036;3986;3538;3188;3538;3538;3538;3538;3538;3538;3538;4036;3488;3538;4100;3538;3986;3538;3538;3538;3529;3538;3538;3538;4036;3488;3538;3538;3538;4036;3538;3538;3986;3538;4036;4036;3488;3538;3538;4036;3488;4036;3538
1 2018;3057;14444;4100;2976;3538;3488;3538;4100;3538;3488;3538;2710;3057;3538;14444;2542;3040;3538;3986;3057;2542;17930;3538;3040;3488;3538;3538;4036;3488;4036;3538;3538;3538;3057;3538;4534;2842;6028;3538;4100;3488;2542;4036;3538;3488;19922;2542;4036;3538;3488;3538;3538;3538;4036;3488;3538;3538;3538;3538;4036;3057;3040;11456;4100;4100;3972;3538;4036;4036;3040;3057;3538;11954;3538;3538;3057;4100;31262;4100;3538;4100;3424;3538;3816
1 2008;3057;3538;10460;3040;4036;3538;3538;3538;4036;3040;3538;3488;3538;3057;3538;11954;4036;4036;3538;3488;3057;3538;10958;3538;4036;3538;3538;3986;4036;2542;3538;3986;3538;4036;4036;3488;3538;3538;4036;3188;3538;2542;3538;3986;4100;2976;3538;3040;2990;3538;3538;16436;4036;3538;4100;3424;4036;3538;3488;3538;3057;3538;3538;3057;3538;3538;3538;3040;3538;3488;3538;3538;4036;4100;3538;4036;3488;3057;3538;3538;3040;4100;3538;3538;3538;3538;13448;3538;3538;4036;4036;4036;3538;4100;3538;3538
1 2012;3188;3538;3538;3040;3986;3538;4036;3538;3488;4036;4036;4100;3488;4036;3538;3538;4036;3538;3986;3538;3538;3538;3488;3297;3538;3538;3538;3538;3488;3538;3538;3538;3488;3538;4036;3538;3488;4036;4100;3538;3986;3538;4036;3040;3538;3040;8020;2990;3538;3538;4100;3488;3538;4100;9400;3538;3538;4036;3488;4036;4036;4036;3488;3538;7024;3040;3538;2542;3538;3538;4036;3538;3488;3538;4036;3538;3488;4036;3538;3538;3440;3538;4036;3538;3538;3488;4100;3538;3057;4100;3972;3538;3986;3538;3538;3538;3488;3538;4036;4036;4100;3538;3538;3327
1 2034;3057;3538;8020;3488;3538;2542;4100;3538;3538;3538;2990;3040;3538;3538;3538;3538;3040;3488;4036;4100;3538;3488;3333;4534;2542;3538;4036;4100;3538;3538;3538;4100;4100;3538;3488;3538;2542;3538;3488;3057;3538;3538;2760;3538;3538;2542;4100;3424;2542;3538;3538;2775;3538;4036;3538;3040;3488;3538;3538;4036;3986;3040;3538;3538;3538;3488;2704;3057;3538;5032;3057;3538;3538;3538;3538;3538;3488;3538;3040;2542;3538;3986;3040;3538;3440;3171;4036;3538;3538;3488;3538;3040;3057;3538;3538;4036;3986;3538;4036;4100;3424;4036;3538;4100;3538;4036
1 2004;3538;3538;4036;3538;3488;3040;3040;3538;3538;3538;3538;3538;3986;3538;3538;3538;3538;4036;3488;4036;2542;3538;3538;2990;3538;4036;3040;3538;3488;3538;3538;2542;2990;3538;3538;3538;3488;3538;3538;3040;3538;3040;3538;3538;2693;2690;3538;3538;3538;3488;3040;3538;3538;3538;2990;3538;3538;3538;3538;3488;4100;3538;3538;3488;3538;3538;3538;3538;3538;3538;3538;3057;3538;3538;4036;3538;3538;3488;3538;3040;3538;3488;4036;3538;3040;3538;3538;3538;3538;3488;4100;2976;3538;3538;3538;3538;3488;3538;3538;3538;3538;3538;3538;3538;4100;3538;3380
1 2036;11506;3538;3986;4100;4036;4100;4100;3474;4100;4100;3424;3163;3057;3538;29832;3057;3538;4534;3538;3488;4100;3538;4036;2990;3538;4036;4100;3474;4036;3538;3538;4534;2934;3538;3538;3538;2690;4100;18862;3538;3538;3110;3538;3538;3538;4036;3986;4100;4100;2542;4100;3424;3538;4100;3538;3057;3538;4534;3170;4036;3057;4036;12452;4100;2542;3538;3488;3538;3538;3040;2542;8020;4100;3538;3986;4100;3171;3538;4036;3538;3488;3538;3080;3538;3538;4036;3986;4036;3538;3538;3488;4036
2 2010;3057;3538;3538;3057;3538;3538;3538;3488;4036;3428;3538;3538;3538;3538;3488;3538;4100;4036;3488;4036;3538;4036;3986;4100;3538;2542;3040;4036;3986;4036;3538;4036;3488;4100;3030;3057;3538;4100;4100;3538;4036;3538;4100;3538;3538;4036;3986;3538;2727;3538;4036;3538;4036;3986;3538;3538;3538;3488;4036;3538;4036;4100;3538;3538;2542;3057;3538;3538;3538;3538;4036;3538;3488;3538;3538;3538;3488;4100;3538;2740;3057;3538;3538;3538;3986;3538;4100;3538;3488;3057;3538;3538;4036;3488;4036;3538;3538;3038;3538;3538;3538;3538;3488;3040;3538;4036;3488
2 2004;3187;3538;3187;3145;3188;3538;9016;3488;3538;3786;3171;4036;4036;3538;4100;3578;3538;3040;3538;4100;3488;3538;4036;4036;3538;3538;4036;3538;3488;4100;4036;3538;4100;3538;2690;3538;5032;3538;3986;3538;3538;4036;4100;2926;3538;4036;2542;3488;4100;3538;3538;3538;3538;2990;3538;4036;3538;2990;3538;3538;4100;3474;3488;4036;2542;3538;4036;3311;2690;4036;3538;4036;3488;3538;3538;4036;3488;3538;4036;3162;3538;3538;4036;3538;3986;3538;3538;4100;3057;3538;3538;3538;3488;4036;3057;4036;2957;2559;3538;3538;4036;3986;4100;3538;4036;3986
